source,name,target,match_score
/hausarzt/homberg/drsmed-volker-dittschar-und-andr-otto-homberg,Drs.med Volker Dittschar und André Otto,https://navoria.de/praxis/homberg-efze/drs-med-volker-dittschar-und-andr-otto-g9LPew,0.98
/hausarzt/hueckelhoven/hausarztpraxis-baal-hckelhoven,Hausarztpraxis Baal,https://navoria.de/praxis/hueckelhoven/hausarztpraxis-baal-rsh4Jg,0.98
/hausarzt/itzehoe/hausarztpraxis-aust-itzehoe,Hausarztpraxis Aust,https://navoria.de/praxis/itzehoe/hausarztpraxis-aust-CociwM,0.98
/hausarzt/jessen/dr-med-stefan-kluge-dr-med-dirk-stanitz-jessen,Dr. med. Stefan Kluge & Dr. med. Dirk Stanitz,https://navoria.de/praxis/jessen-elster/dr-med-stefan-kluge-dr-med-dirk-stanitz-dFozRY,0.98
/hausarzt/jever/hausarztpraxis-am-schlo-jever,Hausarztpraxis Am Schloß,https://navoria.de/praxis/jever/hausarztpraxis-am-schloss-pzW9KM,0.98
/hausarzt/jueterbog/dr-kerstin-hckert-jterbog,Dr. Kerstin Höckert,https://navoria.de/praxis/jueterbog/dr-kerstin-hoeckert-BKmhPY,0.98
/hausarzt/landau/praxis-dr-manfred-lehmann-landau,Praxis Dr. Manfred Lehmann,https://navoria.de/praxis/landau-an-der-isar/praxis-dr-manfred-lehmann-F4npTc,0.98
/hausarzt/landsberg/frau-dr-med-doreen-langer-landsberg,Frau Dr. med. Doreen Langer,https://navoria.de/praxis/landsberg/frau-dr-med-doreen-langer-KbaKO4,0.98
/hausarzt/lehrte/dr-med-martin-schick-lehrte,Dr. med. Martin Schick,https://navoria.de/praxis/lehrte/dr-med-martin-schick-1mX1hg,0.98
/hausarzt/leipzig/frau-dr-med-katja-khn-leipzig,Frau Dr. med. Katja Kühn,https://navoria.de/praxis/leipzig/frau-dr-med-katja-kuehn-jCuV-A,0.98
/hausarzt/loebau/praxis-gries-mudr-ohera-lbau,Praxis Gries/ MUDr Ohera,https://navoria.de/praxis/loebau/praxis-gries-mudr-ohera-pTimIQ,0.98
/hausarzt/loeningen/medizinisches-versorgungszhasetal-lningen-lningen,Medizinisches Versorgungsz.Hasetal Löningen,https://navoria.de/praxis/loeningen/medizinisches-versorgungsz-hasetal-loeningen-MaE68M,0.98
/hausarzt/loerrach/allgemeinpraxis-clas-lrrach,Allgemeinpraxis Clas,https://navoria.de/praxis/loerrach/allgemeinpraxis-clas-SUv_CM,0.98
/hausarzt/luedenscheid/herr-dr-med-volker-budde-ldenscheid,Herr Dr. med. Volker Budde,https://navoria.de/praxis/luedenscheid/herr-dr-med-volker-budde-kodJp4,0.98
/hausarzt/mainburg/dr-luitpold-kistler-mainburg,Dr. Luitpold Kistler,https://navoria.de/praxis/mainburg/dr-luitpold-kistler-tH5Vuk,0.98
/hausarzt/mannheim/prof-dr-med-manfred-hensel-mannheim,Prof. Dr. med. Manfred Hensel,https://navoria.de/praxis/mannheim/prof-dr-med-manfred-hensel-HWInMc,0.98
/hausarzt/melsungen/drmed-ulrike-jehle-sinning-melsungen,Dr.med. Ulrike Jehle-Sinning,https://navoria.de/praxis/melsungen/dr-med-ulrike-jehle-sinning-LSeZ9s,0.98
/hausarzt/mittweida/dr-steffen-schreiber-mittweida,Dr Steffen Schreiber,https://navoria.de/praxis/mittweida/dr-steffen-schreiber-EFSN-Y,0.98
/hausarzt/muenchen/praxis-dr-med-qassim-al-saadawi-mnchen,Praxis Dr. med. Qassim Al Saadawi,https://navoria.de/praxis/muenchen/praxis-dr-med-qassim-al-saadawi-s9uZ34,0.98
/hausarzt/muensingen/drmed-martin-brndle-mnsingen,Dr.med. Martin Brändle,https://navoria.de/praxis/muensingen/dr-med-martin-braendle-JrOOuo,0.98
/hausarzt/muenster/prof-dr-med-dr-hc-michael-zitzmann-mnster,Prof Dr med Dr hc Michael Zitzmann,https://navoria.de/praxis/muenster/prof-dr-med-dr-hc-michael-zitzmann-b3cEWU,0.9
/hausarzt/netphen/kinderarztpraxis-turian-westphal-ehemals-koch-netphen,Kinderarztpraxis Turian Westphal (ehemals Koch),https://navoria.de/praxis/netphen/kinderarztpraxis-turian-westphal-ehemals-koch-TQkuvA,0.98
