source_path,source_full_url,parsed_name,parsed_city,parsed_specialty,best_candidate,candidate_address,navoria_target_url,match_score,second_best_score,status
/hausarzt/ahlen/herr-dr-med-rolf-wermes-ahlen,https://rzte-online.vercel.app/hausarzt/ahlen/herr-dr-med-rolf-wermes-ahlen,rolf wermes ahlen,ahlen,hausarzt,,,,,,UNMATCHED
/hausarzt/freiburg/dr-med-christoph-reuss-freiburg,https://rzte-online.vercel.app/hausarzt/freiburg/dr-med-christoph-reuss-freiburg,christoph reuss freiburg,freiburg,hausarzt,,,,,,UNMATCHED
/augenarzt/eggenfelden/dr-med-jan-wacker-eggenfelden,https://rzte-online.vercel.app/augenarzt/eggenfelden/dr-med-jan-wacker-eggenfelden,jan wacker eggenfelden,eggenfelden,augenarzt,,,,,,UNMATCHED
/hausarzt/dresden/frau-dr-med-antje-rahrisch-dresden,https://rzte-online.vercel.app/hausarzt/dresden/frau-dr-med-antje-rahrisch-dresden,antje rahrisch dresden,dresden,hausarzt,,,,,,UNMATCHED
/hausarzt/gelnhausen/dr-med-rdiger-werner-fass-gelnhausen,https://rzte-online.vercel.app/hausarzt/gelnhausen/dr-med-rdiger-werner-fass-gelnhausen,rdiger werner fass gelnhausen,gelnhausen,hausarzt,,,,,,UNMATCHED
/arzt/freiberg/herr-dr-med-thomas-morgner-freiberg,https://rzte-online.vercel.app/arzt/freiberg/herr-dr-med-thomas-morgner-freiberg,thomas morgner freiberg,freiberg,arzt,,,,,,UNMATCHED
/hausarzt/burghausen/herr-dr-med-christian-schweinberger-burghausen,https://rzte-online.vercel.app/hausarzt/burghausen/herr-dr-med-christian-schweinberger-burghausen,christian schweinberger burghausen,burghausen,hausarzt,,,,,,UNMATCHED
/arzt/geilenkirchen/dr-kian-tajrobehkar-geilenkirchen,https://rzte-online.vercel.app/arzt/geilenkirchen/dr-kian-tajrobehkar-geilenkirchen,kian tajrobehkar geilenkirchen,geilenkirchen,arzt,,,,,,UNMATCHED
/arzt/annaberg-buchholz/herr-dr-med-jrgen-schulze-annaberg-buchholz,https://rzte-online.vercel.app/arzt/annaberg-buchholz/herr-dr-med-jrgen-schulze-annaberg-buchholz,jrgen schulze annaberg buchholz,annaberg-buchholz,arzt,,,,,,UNMATCHED
/arzt/annaberg-buchholz/diplmed-mario-meinig-annaberg-buchholz,https://rzte-online.vercel.app/arzt/annaberg-buchholz/diplmed-mario-meinig-annaberg-buchholz,mario meinig annaberg buchholz,annaberg-buchholz,arzt,,,,,,UNMATCHED
