source,target,name,status,verified,dedupe_by,match_score,reason
/hausarzt/ahlen/herr-dr-med-rolf-wermes-ahlen,https://navoria.de/praxis/ahlen/herr-dr-med-rolf-wermes-_0T6ak,Herr Dr. med. Rolf Wermes,MATCHED_PHASE2,yes,,,street+plz+name
/hausarzt/altdorf/internistische-praxis-dr-brix-fischer-und-langer-altdorf,https://navoria.de/praxis/altdorf-bei-nuernberg/internistische-praxis-dr-brix-fischer-und-langer-BB9BB4,Internistische Praxis Dr. Brix Fischer und Langer,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/angermuende/frau-dr-med-ursel-jarchow-angermnde,https://navoria.de/praxis/angermuende/frau-dr-med-ursel-jarchow-kWArS0,Frau Dr. med. Ursel Jarchow,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/ansbach/dr-med-ulrike-may-ansbach,https://navoria.de/praxis/ansbach/dr-med-ulrike-may-Hy90mE,Dr. med. Ulrike May,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/bad-muenstereifel/dr-thomas-kleinfeld-7663,https://navoria.de/praxis/bad-muenstereifel/dr-thomas-kleinfeld-6WtcwI,Dr. Thomas Kleinfeld,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/bad-rappenau/anna-friederike-hund,https://navoria.de/praxis/bad-rappenau/anna-friederike-hund-brT0YE,Anna Friederike Hund,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/bad-waldsee/herr-dr-hc-ulf-michael-deckers,https://navoria.de/praxis/bad-waldsee/herr-dr-h-c-ulf-michael-deckers-BQP1Gk,Herr Dr. h.c. Ulf Michael Deckers,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/bad-wildungen/dr-med-anneli-freitag-schickram,https://navoria.de/praxis/bad-wildungen/dr-med-anneli-freitag-schickram-vLu2l0,Dr. med. Anneli Freitag-Schickram,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/bad-wurzach/dr-bernd-lindenmaier-bad,https://navoria.de/praxis/bad-wurzach/dr-bernd-lindenmaier-7oSaKU,Dr. Bernd Lindenmaier,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/bad/herr-dr-med-rainer-eisele-bad,https://navoria.de/praxis/bad-waldsee/herr-dr-med-rainer-eisele-i_f_ko,Herr Dr. med. Rainer Eisele,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/bargteheide/drmedsandra-nagel-bargteheide,https://navoria.de/praxis/bargteheide/dr-med-sandra-nagel-0jegy0,Dr.Med.Sandra Nagel,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/baunatal/michael-frlich-baunatal,https://navoria.de/praxis/baunatal/drmed-michaela-jahn-mNzKj4,Dr.med. Michaela Jahn,MATCHED_PHASE2,yes,,,street+plz+name
/hausarzt/bautzen/dr-med-ekkehard-seeliger-facharzt-fuer-allgemeinmedizin,https://navoria.de/praxis/bautzen/dr-med-ekkehard-seeliger-facharzt-fuer-allgemeinmedizin-WuWyu4,Dr. med. Ekkehard Seeliger Facharzt für Allgemeinmedizin,PLACES_IMPORTED_NEW,yes,,0.9,
